,dimension,term,dir,examples,example_source,synset,definition
0,Sociability,sociability,high,['her lively sociability complemented his reserved nature'],Oxford Learner's Dictionary,sociability.n.01,the relative tendency or disposition to be sociable or associate with one's fellows
1,Sociability,unsociability,low,"['His manner had lost its rough unsociability he talked to her readily', 'Should we think of headphones, then, as just another emblem of catastrophic social decline, a tool that edges us even deeper into narcissism, solipsism, vast unsociability']",Books and Articles,unsociability.n.01,an unsociable disposition; avoiding friendship or companionship
2,Sociability,sociable,high,"['a sociable occasion', 'enjoyed a sociable chat', 'a sociable conversation', 'americans are sociable and gregarious']",WordNet,sociable.a.01,inclined to or conducive to companionship with others
3,Sociability,unsociable,low,"['an unsociable nature...shy and reserved', 'generally unsociable except with intimate friends', 'unsociable behavior', 'an unsociable neighborhood']",WordNet,unsociable.a.01,not inclined to society or companionship
4,Sociability,friendliness,high,"['we were greeted with warmth and friendliness', 'her sudden friendliness towards him was unsettling']",Oxford Learner's Dictionary,friendliness.n.01,a feeling of liking for another person; enjoyment in their company
5,Sociability,friendliness,high,['the friendliness of its relations with the other villages'],Oxford Learner's Dictionary,friendliness.n.02,a friendly disposition
6,Sociability,unfriendliness,low,['We were shocked by the unfriendliness of the staff'],Oxford Learner's Dictionary,unfriendliness.n.01,dislike experienced as an absence of friendliness
7,Sociability,unfriendliness,low,"['He was received with suspicion and unfriendliness', 'He had shown incompetence, unfriendliness, and an excessive willingness to lead his group into danger']",Oxford Learner's Dictionary,unfriendliness.n.02,an unfriendly disposition
8,Sociability,friendly,high,"['friendly advice', 'a friendly neighborhood', 'the only friendly person here', 'a friendly host and hostess']",WordNet,friendly.a.01,characteristic of or befitting a friend
9,Sociability,friendly,high,"['a government friendly to our interests', 'a friendly agreement']",WordNet,friendly.s.02,inclined to help or support; not antagonistic or hostile
10,Sociability,unfriendly,low,"['an unfriendly coldness of manner', 'an unfriendly action to take']",WordNet,unfriendly.a.02,not disposed to friendship or friendliness
11,Sociability,unfriendly,low,"['an unfriendly act of aggression', 'an unfriendly critic']",WordNet,unfriendly.s.03,not friendly
12,Sociability,cold,low,"['a cold unfriendly nod', 'a cold and unaffectionate person', 'a cold impersonal manner', 'cold logic', 'the concert left me cold']",WordNet,cold.a.02,extended meanings; especially of psychological coldness; without human warmth or emotion
13,Sociability,coldness,low,['a distressing coldness of tone and manner'],WordNet,coldness.n.02,a lack of affection or enthusiasm
14,Sociability,warm,high,"['a warm greeting', 'a warm personality', 'warm support']",WordNet,warm.a.02,psychologically warm; friendly and responsive
15,Sociability,warmth,high,"['They were touched by the warmth of the welcome', 'His expression lacked warmth or encouragement']",Oxford Learner's Dictionary,warmheartedness.n.01,a warmhearted feeling
16,Sociability,warmth,high,"['she seems to be a person without human warmth', 'Her warmth and kindness made her universally liked']",Oxford Learner's Dictionary,affectionateness.n.02,a quality proceeding from feelings of affection or love
17,Sociability,likable,high,['the likable characters in the play'],WordNet,sympathetic.a.04,(of characters in literature or drama) evoking empathic or sympathetic feelings
18,Sociability,likable,high,['an attractive and likable young man'],WordNet,likable.s.02,easy to like; agreeable
19,Sociability,repellent,low,"['he became repellent and prickly and spiteful', 'i find his obsequiousness repellent']",WordNet,rebarbative.s.01,serving or tending to repel
20,Sociability,pleasant,high,"[""i didn't enjoy it and probably wasn't a pleasant person to be around""]",WordNet,pleasant.s.02,(of persons) having pleasing manners or behavior
21,Sociability,unpleasant,low,"['an unpleasant personality', 'unpleasant repercussions', 'unpleasant odors']",WordNet,unpleasant.a.01,"disagreeable to the senses, to the mind, or feelings"
22,Sociability,unlikable,low,['all the characters were peculiarly unlikable'],WordNet,unsympathetic.a.02,(of characters in literature or drama) tending to evoke antipathetic feelings
23,Sociability,unlikable,low,['a disagreeable and unlikable old woman'],WordNet,unlikable.s.02,difficult or impossible to like
24,Sociability,liked,high,['a well liked teacher'],WordNet,liked.a.01,found pleasant or attractive; often used as a combining form
25,Sociability,disliked,low,['he was intensely disliked'],WordNet,disliked.a.01,regarded with aversion
